symbol,report_date,period,revenue,gross_profit,operating_income,net_income,total_assets,total_liabilities,total_equity,cash_from_operations
AAPL,2005-03-31,quarterly,3243000000.0,968000000.0,402000000.0,290000000.0,10111000000.0,3725000000.0,6386000000.0,536000000.0
AAPL,2005-06-30,quarterly,3520000000.0,1044000000.0,426000000.0,315000000.0,10488000000.0,3667000000.0,6821000000.0,472000000.0
AAPL,2005-09-30,quarterly,3678000000.0,1035000000.0,418000000.0,430000000.0,11551000000.0,4085000000.0,7466000000.0,752000000.0
AAPL,2005-12-31,quarterly,5749000000.0,1564000000.0,750000000.0,565000000.0,14181000000.0,5801000000.0,8380000000.0,283000000.0
AAPL,2006-03-31,quarterly,4359000000.0,1297000000.0,529000000.0,410000000.0,13911000000.0,5229000000.0,8682000000.0,-125000000.0
AAPL,2006-06-30,quarterly,4370000000.0,1325000000.0,566000000.0,472000000.0,15114000000.0,5784000000.0,9330000000.0,1007000000.0
AAPL,2006-09-30,quarterly,4370000000.0,1412000000.0,608000000.0,542000000.0,17205000000.0,7221000000.0,9984000000.0,1055000000.0
AAPL,2006-12-31,quarterly,7115000000.0,2220000000.0,1322000000.0,1004000000.0,19461000000.0,8233000000.0,11228000000.0,1813000000.0
AAPL,2007-03-31,quarterly,5264000000.0,1849000000.0,986000000.0,770000000.0,18711000000.0,6450000000.0,12261000000.0,734000000.0
AAPL,2007-06-30,quarterly,5410000000.0,1995000000.0,1041000000.0,818000000.0,21647000000.0,8243000000.0,13404000000.0,1227000000.0
AAPL,2007-09-30,quarterly,6217000000.0,2090000000.0,1060000000.0,904000000.0,25347000000.0,10815000000.0,14532000000.0,1696000000.0
AAPL,2007-12-31,quarterly,9608000000.0,3332000000.0,2126000000.0,1581000000.0,30039000000.0,13235000000.0,16804000000.0,2787000000.0
AAPL,2008-03-31,quarterly,7512000000.0,2474000000.0,1315000000.0,1045000000.0,30471000000.0,12418000000.0,18053000000.0,1193000000.0
AAPL,2008-06-30,quarterly,7464000000.0,2600000000.0,1392000000.0,1072000000.0,31709000000.0,12087000000.0,19622000000.0,1321000000.0
AAPL,2008-09-30,quarterly,7895000000.0,2739000000.0,1442000000.0,1136000000.0,39572000000.0,18542000000.0,21030000000.0,4295000000.0
AAPL,2008-12-31,quarterly,11880000000.0,4507000000.0,3101000000.0,2255000000.0,42787000000.0,19878000000.0,22909000000.0,3938000000.0
AAPL,2009-03-31,quarterly,9084000000.0,3627000000.0,2323000000.0,1620000000.0,43237000000.0,18926000000.0,24311000000.0,841000000.0
AAPL,2009-06-30,quarterly,9734000000.0,3983000000.0,2632000000.0,1828000000.0,48140000000.0,22252000000.0,25888000000.0,2270000000.0
AAPL,2009-09-30,quarterly,9870000000.0,3614000000.0,2193000000.0,1665000000.0,53851000000.0,26019000000.0,27832000000.0,3110000000.0
AAPL,2009-12-31,quarterly,15683000000.0,6411000000.0,4725000000.0,3378000000.0,53926000000.0,18158000000.0,35768000000.0,5781000000.0
AAPL,2010-03-31,quarterly,13499000000.0,5625000000.0,3979000000.0,3074000000.0,57057000000.0,17709000000.0,39348000000.0,2330000000.0
AAPL,2010-06-30,quarterly,15700000000.0,6136000000.0,4234000000.0,3253000000.0,64725000000.0,21614000000.0,43111000000.0,4801000000.0
AAPL,2010-09-30,quarterly,20343000000.0,7512000000.0,5447000000.0,4308000000.0,75183000000.0,27392000000.0,47791000000.0,5683000000.0
AAPL,2010-12-31,quarterly,26741000000.0,10298000000.0,7827000000.0,6004000000.0,86742000000.0,32076000000.0,54666000000.0,9773000000.0
AAPL,2011-03-31,quarterly,24667000000.0,10218000000.0,7874000000.0,5987000000.0,94904000000.0,33427000000.0,61477000000.0,6219000000.0
AAPL,2011-06-30,quarterly,28571000000.0,11922000000.0,9379000000.0,7308000000.0,106758000000.0,37415000000.0,69343000000.0,11108000000.0
AAPL,2011-09-30,quarterly,28270000000.0,11380000000.0,8710000000.0,6623000000.0,116371000000.0,39756000000.0,76615000000.0,10429000000.0
AAPL,2011-12-31,quarterly,46333000000.0,20703000000.0,17340000000.0,13064000000.0,138681000000.0,48627000000.0,90054000000.0,17554000000.0
AAPL,2012-03-31,quarterly,39186000000.0,18564000000.0,15384000000.0,11622000000.0,150934000000.0,48436000000.0,102498000000.0,13977000000.0
AAPL,2012-06-30,quarterly,35023000000.0,14994000000.0,11573000000.0,8824000000.0,162896000000.0,51150000000.0,111746000000.0,10189000000.0
AAPL,2012-09-30,quarterly,35966000000.0,14401000000.0,10944000000.0,8223000000.0,176064000000.0,57854000000.0,118210000000.0,9136000000.0
AAPL,2012-12-31,quarterly,54512000000.0,21060000000.0,17210000000.0,13078000000.0,196088000000.0,68742000000.0,127346000000.0,23426000000.0
AAPL,2013-03-31,quarterly,43603000000.0,16349000000.0,12558000000.0,9547000000.0,194743000000.0,59253000000.0,135490000000.0,12504000000.0
AAPL,2013-06-30,quarterly,35323000000.0,13024000000.0,9201000000.0,6900000000.0,199856000000.0,76502000000.0,123354000000.0,7828000000.0
AAPL,2013-09-30,quarterly,37472000000.0,13871000000.0,10030000000.0,7512000000.0,207000000000.0,83451000000.0,123549000000.0,9908000000.0
AAPL,2013-12-31,quarterly,57594000000.0,21846000000.0,17463000000.0,13072000000.0,225184000000.0,95500000000.0,129684000000.0,22670000000.0
AAPL,2014-03-31,quarterly,45646000000.0,17947000000.0,13593000000.0,10223000000.0,205989000000.0,85810000000.0,120179000000.0,13538000000.0
AAPL,2014-06-30,quarterly,37432000000.0,14735000000.0,10282000000.0,7748000000.0,222520000000.0,101580000000.0,120940000000.0,10255000000.0
AAPL,2014-09-30,quarterly,42123000000.0,16009000000.0,11165000000.0,8467000000.0,231839000000.0,120292000000.0,111547000000.0,13250000000.0
AAPL,2014-12-31,quarterly,74599000000.0,29741000000.0,24246000000.0,18024000000.0,261894000000.0,138566000000.0,123328000000.0,33722000000.0
