symbol,report_date,period,revenue,gross_profit,operating_income,net_income,total_assets,total_liabilities,total_equity,cash_from_operations
MSFT,2005-03-31,quarterly,9620000000.0,8257000000.0,3329000000.0,2563000000.0,66275000000.0,18902000000.0,47373000000.0,5003000000.0
MSFT,2005-06-30,quarterly,10161000000.0,8751000000.0,2989000000.0,3700000000.0,70815000000.0,22700000000.0,48115000000.0,3976000000.0
MSFT,2005-09-30,quarterly,9741000000.0,8488000000.0,4046000000.0,3141000000.0,71462000000.0,23135000000.0,48327000000.0,4329000000.0
MSFT,2005-12-31,quarterly,11837000000.0,9598000000.0,4657000000.0,3653000000.0,67257000000.0,23049000000.0,44208000000.0,2231000000.0
MSFT,2006-03-31,quarterly,10900000000.0,8872000000.0,3888000000.0,2977000000.0,66854000000.0,24816000000.0,42038000000.0,4563000000.0
MSFT,2006-06-30,quarterly,11804000000.0,9674000000.0,3881000000.0,2828000000.0,69597000000.0,29493000000.0,40104000000.0,3281000000.0
MSFT,2006-09-30,quarterly,10811000000.0,9115000000.0,4474000000.0,3478000000.0,65354000000.0,29253000000.0,36101000000.0,4061000000.0
MSFT,2006-12-31,quarterly,12542000000.0,8922000000.0,3472000000.0,2626000000.0,66371000000.0,29737000000.0,36634000000.0,2042000000.0
MSFT,2007-03-31,quarterly,14398000000.0,12258000000.0,6589000000.0,4926000000.0,63891000000.0,28918000000.0,34973000000.0,7291000000.0
MSFT,2007-06-30,quarterly,13371000000.0,10134000000.0,3989000000.0,3035000000.0,63171000000.0,32074000000.0,31097000000.0,4402000000.0
MSFT,2007-09-30,quarterly,13762000000.0,11087000000.0,5918000000.0,4289000000.0,65645000000.0,33510000000.0,32135000000.0,5878000000.0
MSFT,2007-12-31,quarterly,16367000000.0,12824000000.0,6481000000.0,4707000000.0,67339000000.0,32908000000.0,34431000000.0,4567000000.0
MSFT,2008-03-31,quarterly,14454000000.0,11940000000.0,4409000000.0,4388000000.0,70747000000.0,33193000000.0,37554000000.0,7082000000.0
MSFT,2008-06-30,quarterly,15837000000.0,12971000000.0,5684000000.0,4297000000.0,72793000000.0,36507000000.0,36286000000.0,4085000000.0
MSFT,2008-09-30,quarterly,15061000000.0,12213000000.0,5999000000.0,4373000000.0,65117000000.0,31523000000.0,33594000000.0,3370000000.0
MSFT,2008-12-31,quarterly,16629000000.0,12722000000.0,5939000000.0,4174000000.0,65786000000.0,31308000000.0,34478000000.0,5782000000.0
MSFT,2009-03-31,quarterly,13648000000.0,10834000000.0,4438000000.0,2977000000.0,68853000000.0,31910000000.0,36943000000.0,6044000000.0
MSFT,2009-06-30,quarterly,13099000000.0,10513000000.0,3987000000.0,3045000000.0,77888000000.0,38330000000.0,39558000000.0,3841000000.0
MSFT,2009-09-30,quarterly,12920000000.0,10078000000.0,4482000000.0,3574000000.0,81612000000.0,40400000000.0,41212000000.0,6107000000.0
MSFT,2009-12-31,quarterly,19022000000.0,15394000000.0,8513000000.0,6662000000.0,82096000000.0,37813000000.0,44283000000.0,4969000000.0
MSFT,2010-03-31,quarterly,14503000000.0,11748000000.0,5173000000.0,4006000000.0,84910000000.0,39200000000.0,45710000000.0,7393000000.0
MSFT,2010-06-30,quarterly,16039000000.0,12869000000.0,5930000000.0,4518000000.0,86113000000.0,39938000000.0,46175000000.0,5604000000.0
MSFT,2010-09-30,quarterly,16195000000.0,13056000000.0,7116000000.0,5410000000.0,91540000000.0,44598000000.0,46942000000.0,8194000000.0
MSFT,2010-12-31,quarterly,19953000000.0,15120000000.0,8165000000.0,6634000000.0,92306000000.0,43825000000.0,48481000000.0,4186000000.0
MSFT,2011-03-31,quarterly,16428000000.0,12531000000.0,5709000000.0,5232000000.0,99727000000.0,46275000000.0,53452000000.0,8672000000.0
MSFT,2011-06-30,quarterly,17367000000.0,13659000000.0,6171000000.0,5874000000.0,108704000000.0,51621000000.0,57083000000.0,5942000000.0
MSFT,2011-09-30,quarterly,17372000000.0,13595000000.0,7203000000.0,5738000000.0,107415000000.0,48024000000.0,59391000000.0,8493000000.0
MSFT,2011-12-31,quarterly,20885000000.0,15247000000.0,7994000000.0,6624000000.0,112243000000.0,48122000000.0,64121000000.0,5862000000.0
MSFT,2012-03-31,quarterly,17407000000.0,13455000000.0,6374000000.0,5108000000.0,118010000000.0,49351000000.0,68659000000.0,9594000000.0
MSFT,2012-06-30,quarterly,18059000000.0,13896000000.0,192000000.0,-492000000.0,121271000000.0,54908000000.0,66363000000.0,7677000000.0
MSFT,2012-09-30,quarterly,16008000000.0,11840000000.0,5308000000.0,4466000000.0,121876000000.0,53040000000.0,68836000000.0,8484000000.0
MSFT,2012-12-31,quarterly,21456000000.0,15764000000.0,7771000000.0,6377000000.0,128683000000.0,56107000000.0,72576000000.0,4780000000.0
MSFT,2013-03-31,quarterly,20489000000.0,15702000000.0,7612000000.0,6055000000.0,134105000000.0,57417000000.0,76688000000.0,9666000000.0
MSFT,2013-06-30,quarterly,19896000000.0,14294000000.0,6073000000.0,4965000000.0,142431000000.0,63487000000.0,78944000000.0,5903000000.0
MSFT,2013-09-30,quarterly,18529000000.0,13384000000.0,6334000000.0,5244000000.0,142348000000.0,60707000000.0,81641000000.0,8205000000.0
MSFT,2013-12-31,quarterly,24519000000.0,16197000000.0,7969000000.0,6558000000.0,153543000000.0,68443000000.0,85100000000.0,4413000000.0
MSFT,2014-03-31,quarterly,20403000000.0,14425000000.0,6974000000.0,5660000000.0,156119000000.0,68695000000.0,87424000000.0,10099000000.0
MSFT,2014-06-30,quarterly,23382000000.0,15787000000.0,6482000000.0,4612000000.0,172384000000.0,82600000000.0,89784000000.0,9514000000.0
MSFT,2014-09-30,quarterly,23201000000.0,14928000000.0,5844000000.0,4540000000.0,169656000000.0,79486000000.0,90170000000.0,8354000000.0
MSFT,2014-12-31,quarterly,26470000000.0,16334000000.0,7776000000.0,5863000000.0,174848000000.0,82969000000.0,91879000000.0,4340000000.0
MSFT,2015-03-31,quarterly,21729000000.0,14568000000.0,6594000000.0,4985000000.0,176683000000.0,86551000000.0,90132000000.0,9601000000.0
MSFT,2015-06-30,quarterly,22180000000.0,14712000000.0,-2053000000.0,-3195000000.0,174472000000.0,94389000000.0,80083000000.0,6816000000.0
MSFT,2015-09-30,quarterly,20379000000.0,13172000000.0,5793000000.0,4902000000.0,172896000000.0,95451000000.0,77445000000.0,8876000000.0
MSFT,2015-12-31,quarterly,23796000000.0,13924000000.0,6026000000.0,5018000000.0,180098000000.0,103318000000.0,76780000000.0,5618000000.0
MSFT,2016-03-31,quarterly,20531000000.0,12809000000.0,5283000000.0,3756000000.0,181869000000.0,107063000000.0,74806000000.0,10367000000.0
MSFT,2016-06-30,quarterly,20614000000.0,12635000000.0,3080000000.0,3122000000.0,193468000000.0,121471000000.0,71997000000.0,8464000000.0
MSFT,2016-09-30,quarterly,21928000000.0,14084000000.0,6715000000.0,5667000000.0,212524000000.0,142152000000.0,70372000000.0,11549000000.0
MSFT,2016-12-31,quarterly,25826000000.0,15925000000.0,7905000000.0,6267000000.0,224610000000.0,155801000000.0,68809000000.0,6293000000.0
MSFT,2017-03-31,quarterly,23212000000.0,15152000000.0,6723000000.0,5486000000.0,225017000000.0,155288000000.0,69729000000.0,10660000000.0
MSFT,2017-06-30,quarterly,23317000000.0,14861000000.0,5330000000.0,6513000000.0,250312000000.0,162601000000.0,87711000000.0,11005000000.0
MSFT,2017-09-30,quarterly,24538000000.0,16260000000.0,7708000000.0,6576000000.0,249097000000.0,159450000000.0,89647000000.0,12440000000.0
MSFT,2017-12-31,quarterly,28918000000.0,17854000000.0,8679000000.0,-6302000000.0,256003000000.0,177643000000.0,78360000000.0,7875000000.0
MSFT,2018-03-31,quarterly,26819000000.0,17550000000.0,8292000000.0,7424000000.0,245497000000.0,166258000000.0,79239000000.0,12151000000.0
MSFT,2018-06-30,quarterly,30085000000.0,20343000000.0,10379000000.0,8873000000.0,258848000000.0,176130000000.0,82718000000.0,11418000000.0
MSFT,2018-09-30,quarterly,29084000000.0,19179000000.0,9955000000.0,8824000000.0,257619000000.0,171652000000.0,85967000000.0,13657000000.0
MSFT,2018-12-31,quarterly,32471000000.0,20048000000.0,10258000000.0,8420000000.0,258859000000.0,166731000000.0,92128000000.0,8900000000.0
MSFT,2019-03-31,quarterly,30571000000.0,20401000000.0,10341000000.0,8809000000.0,263281000000.0,168417000000.0,94864000000.0,13520000000.0
MSFT,2019-06-30,quarterly,33717000000.0,23305000000.0,12405000000.0,13187000000.0,286556000000.0,184226000000.0,102330000000.0,16108000000.0
MSFT,2019-09-30,quarterly,33055000000.0,22649000000.0,12686000000.0,10678000000.0,278955000000.0,172894000000.0,106061000000.0,13818000000.0
MSFT,2019-12-31,quarterly,36906000000.0,24548000000.0,13891000000.0,11649000000.0,282794000000.0,172685000000.0,110109000000.0,10680000000.0
MSFT,2020-03-31,quarterly,35021000000.0,24046000000.0,12975000000.0,10752000000.0,285449000000.0,170948000000.0,114501000000.0,17504000000.0
MSFT,2020-06-30,quarterly,38033000000.0,25694000000.0,13407000000.0,11202000000.0,301311000000.0,183007000000.0,118304000000.0,18673000000.0
MSFT,2020-09-30,quarterly,37154000000.0,26152000000.0,15876000000.0,13893000000.0,301001000000.0,177609000000.0,123392000000.0,19335000000.0
MSFT,2020-12-31,quarterly,43076000000.0,28882000000.0,17897000000.0,15463000000.0,304137000000.0,173901000000.0,130236000000.0,12516000000.0
MSFT,2021-03-31,quarterly,41706000000.0,28661000000.0,17048000000.0,15457000000.0,308879000000.0,174374000000.0,134505000000.0,22179000000.0
MSFT,2021-06-30,quarterly,46152000000.0,32161000000.0,19095000000.0,16458000000.0,333779000000.0,191791000000.0,141988000000.0,22710000000.0
MSFT,2021-09-30,quarterly,45317000000.0,31671000000.0,20238000000.0,20505000000.0,335418000000.0,183440000000.0,151978000000.0,24540000000.0
MSFT,2021-12-31,quarterly,51728000000.0,34768000000.0,22247000000.0,18765000000.0,340389000000.0,180379000000.0,160010000000.0,14480000000.0
MSFT,2022-03-31,quarterly,49360000000.0,33745000000.0,20364000000.0,16728000000.0,344607000000.0,181683000000.0,162924000000.0,25386000000.0
MSFT,2022-06-30,quarterly,51865000000.0,35436000000.0,20534000000.0,16740000000.0,364840000000.0,198298000000.0,166542000000.0,24629000000.0
MSFT,2022-09-30,quarterly,50122000000.0,34670000000.0,21518000000.0,17556000000.0,359784000000.0,186218000000.0,173566000000.0,23198000000.0
MSFT,2022-12-31,quarterly,52747000000.0,35259000000.0,20399000000.0,16425000000.0,364552000000.0,181416000000.0,183136000000.0,11173000000.0
MSFT,2023-03-31,quarterly,52857000000.0,36729000000.0,22352000000.0,18299000000.0,380088000000.0,185405000000.0,194683000000.0,24441000000.0
MSFT,2023-06-30,quarterly,56189000000.0,39394000000.0,24254000000.0,20081000000.0,411976000000.0,205753000000.0,206223000000.0,28770000000.0
MSFT,2023-09-30,quarterly,56517000000.0,40215000000.0,26895000000.0,22291000000.0,445785000000.0,225071000000.0,220714000000.0,30583000000.0
MSFT,2023-12-31,quarterly,62020000000.0,42397000000.0,27032000000.0,21870000000.0,470558000000.0,232290000000.0,238268000000.0,18853000000.0
MSFT,2024-03-31,quarterly,61858000000.0,43353000000.0,27581000000.0,21939000000.0,484275000000.0,231123000000.0,253152000000.0,31917000000.0
MSFT,2024-06-30,quarterly,64727000000.0,45043000000.0,27925000000.0,22036000000.0,512163000000.0,243686000000.0,268477000000.0,37195000000.0
MSFT,2024-09-30,quarterly,65585000000.0,45486000000.0,30552000000.0,24667000000.0,523013000000.0,235290000000.0,287723000000.0,34180000000.0
