Date,Value
1992-01-01,114404.0
1992-02-01,115317.0
1992-03-01,114456.0
1992-04-01,114191.0
1992-05-01,114573.0
1992-06-01,114744.0
1992-07-01,114762.0
1992-08-01,115308.0
1992-09-01,116367.0
1992-10-01,117121.0
1992-11-01,117074.0
1992-12-01,117975.0
1993-01-01,118320.0
1993-02-01,117507.0
1993-03-01,116752.0
1993-04-01,118287.0
1993-05-01,119455.0
1993-06-01,119418.0
1993-07-01,120341.0
1993-08-01,120550.0
1993-09-01,120975.0
1993-10-01,121804.0
1993-11-01,122785.0
1993-12-01,123418.0
1994-01-01,122593.0
1994-02-01,124050.0
1994-03-01,125391.0
1994-04-01,125855.0
1994-05-01,124847.0
1994-06-01,125852.0
1994-07-01,125546.0
1994-08-01,127110.0
1994-09-01,127383.0
1994-10-01,129108.0
1994-11-01,128818.0
1994-12-01,128618.0
1995-01-01,129297.0
1995-02-01,126673.0
1995-03-01,127409.0
1995-04-01,127443.0
1995-05-01,128666.0
1995-06-01,129468.0
1995-07-01,129433.0
1995-08-01,129876.0
1995-09-01,130082.0
1995-10-01,129375.0
1995-11-01,130332.0
1995-12-01,131469.0
1996-01-01,130182.0
1996-02-01,131385.0
1996-03-01,132176.0
1996-04-01,132291.0
1996-05-01,132685.0
1996-06-01,132687.0
1996-07-01,132671.0
1996-08-01,132159.0
1996-09-01,133510.0
1996-10-01,134191.0
1996-11-01,133710.0
1996-12-01,133820.0
1997-01-01,134481.0
1997-02-01,135264.0
1997-03-01,135350.0
1997-04-01,134817.0
1997-05-01,132979.0
1997-06-01,134995.0
1997-07-01,136430.0
1997-08-01,136886.0
1997-09-01,136696.0
1997-10-01,136121.0
1997-11-01,136614.0
1997-12-01,137054.0
1998-01-01,137104.0
1998-02-01,137391.0
1998-03-01,138256.0
1998-04-01,139447.0
1998-05-01,140093.0
1998-06-01,141306.0
1998-07-01,139933.0
1998-08-01,139583.0
1998-09-01,141046.0
1998-10-01,142618.0
1998-11-01,143358.0
1998-12-01,144143.0
1999-01-01,145118.0
1999-02-01,146679.0
1999-03-01,146947.0
1999-04-01,147412.0
1999-05-01,148991.0
1999-06-01,149395.0
1999-07-01,150062.0
1999-08-01,151680.0
1999-09-01,151407.0
1999-10-01,151616.0
1999-11-01,153275.0
1999-12-01,155427.0
2000-01-01,155484.0
2000-02-01,156941.0
2000-03-01,157747.0
2000-04-01,156270.0
2000-05-01,156202.0
2000-06-01,155886.0
2000-07-01,156805.0
2000-08-01,156658.0
2000-09-01,157093.0
2000-10-01,156694.0
2000-11-01,155529.0
2000-12-01,155411.0
2001-01-01,156556.0
2001-02-01,155869.0
2001-03-01,155217.0
2001-04-01,156030.0
