Date,Value
1952-01-01,1298.871
1952-04-01,1321.517
1952-07-01,1334.343
1952-10-01,1338.242
1953-01-01,1348.622
1953-04-01,1350.855
1953-07-01,1365.443
1953-10-01,1386.232
1954-01-01,1409.007
1954-04-01,1430.699
1954-07-01,1466.938
1954-10-01,1484.121
1955-01-01,1505.874
1955-04-01,1540.998
1955-07-01,1580.327
1955-10-01,1600.734
1956-01-01,1643.835
1956-04-01,1654.132
1956-07-01,1672.629
1956-10-01,1710.652
1957-01-01,1723.811
1957-04-01,1761.007
1957-07-01,1759.281
1957-10-01,1776.003
1958-01-01,1809.387
1958-04-01,1836.684
1958-07-01,1890.879
1958-10-01,1921.081
1959-01-01,1941.644
1959-04-01,1969.419
1959-07-01,1982.496
1959-10-01,2016.086
1960-01-01,2024.315
1960-04-01,2042.343
1960-07-01,2037.693
1960-10-01,2091.058
1961-01-01,2141.603
1961-04-01,2164.267
1961-07-01,2200.703
1961-10-01,2256.718
1962-01-01,2269.77
1962-04-01,2174.821
1962-07-01,2214.273
1962-10-01,2319.202
1963-01-01,2353.919
1963-04-01,2386.237
1963-07-01,2428.012
1963-10-01,2422.671
1964-01-01,2469.524
1964-04-01,2513.891
1964-07-01,2560.247
1964-10-01,2604.187
1965-01-01,2648.465
1965-04-01,2645.547
1965-07-01,2723.262
1965-10-01,2803.145
1966-01-01,2810.256
1966-04-01,2842.499
1966-07-01,2813.811
1966-10-01,2902.437
1967-01-01,3009.085
1967-04-01,3050.247
1967-07-01,3136.805
1967-10-01,3204.063
1968-01-01,3227.031
1968-04-01,3365.368
1968-07-01,3427.079
1968-10-01,3595.705
1969-01-01,3613.958
1969-04-01,3621.554
1969-07-01,3643.034
1969-10-01,3660.324
1970-01-01,3688.443
1970-04-01,3624.916
1970-07-01,3752.606
1970-10-01,3875.61
1971-01-01,4039.181
1971-04-01,4113.378
1971-07-01,4173.523
1971-10-01,4294.415
1972-01-01,4453.459
1972-04-01,4518.456
1972-07-01,4643.458
1972-10-01,4889.777
1973-01-01,4915.338
1973-04-01,4955.122
1973-07-01,5137.64
1973-10-01,5101.037
1974-01-01,5131.824
1974-04-01,5114.581
1974-07-01,5074.459
1974-10-01,5213.064
1975-01-01,5466.296
1975-04-01,5699.56
1975-07-01,5695.018
1975-10-01,5861.926
1976-01-01,6062.158
1976-04-01,6238.816
1976-07-01,6354.593
1976-10-01,6522.667
1977-01-01,6631.747
1977-04-01,6811.023
1977-07-01,6950.4
1977-10-01,7107.581
1978-01-01,7280.835
1978-04-01,7527.563
1978-07-01,7773.697
1978-10-01,7955.603
1979-01-01,8270.795
1979-04-01,8546.591
1979-07-01,8825.914
1979-10-01,9096.397
1980-01-01,9300.836
1980-04-01,9646.988
1980-07-01,10038.129
1980-10-01,10359.454
1981-01-01,10553.583
1981-04-01,10839.556
1981-07-01,10945.165
1981-10-01,11258.954
1982-01-01,11406.642
1982-04-01,11546.116
1982-07-01,11764.82
1982-10-01,12084.246
1983-01-01,12425.164
1983-04-01,12721.932
1983-07-01,12880.395
1983-10-01,12980.987
1984-01-01,13215.05
1984-04-01,13444.568
1984-07-01,13778.009
1984-10-01,14063.674
1985-01-01,14465.04
1985-04-01,14804.687
1985-07-01,15008.88
1985-10-01,15507.051
1986-01-01,16009.509
1986-04-01,16387.252
1986-07-01,16570.452
1986-10-01,17140.072
1987-01-01,17763.652
1987-04-01,18052.429
1987-07-01,18465.234
1987-10-01,18400.274
1988-01-01,18906.179
1988-04-01,19336.976
1988-07-01,19656.998
1988-10-01,20150.303
1989-01-01,20580.555
1989-04-01,21008.971
1989-07-01,21549.347
1989-10-01,21948.536
1990-01-01,21989.409
1990-04-01,22282.973
1990-07-01,22149.107
1990-10-01,22606.09
1991-01-01,23109.791
1991-04-01,23195.268
1991-07-01,23534.244
1991-10-01,24108.237
1992-01-01,24116.886
1992-04-01,24235.825
1992-07-01,24619.43
1992-10-01,25220.38
1993-01-01,25556.71
1993-04-01,25846.476
1993-07-01,26278.39
1993-10-01,26730.905
1994-01-01,26879.112
1994-04-01,27089.267
1994-07-01,27483.807
1994-10-01,27709.985
1995-01-01,28276.384
1995-04-01,28881.548
1995-07-01,29339.728
1995-10-01,30062.914
1996-01-01,30614.926
1996-04-01,31101.769
1996-07-01,31420.047
1996-10-01,32163.829
1997-01-01,32472.553
1997-04-01,33864.665
1997-07-01,34897.993
1997-10-01,35527.862
1998-01-01,37167.076
1998-04-01,37886.761
1998-07-01,37233.893
1998-10-01,39308.989
1999-01-01,39621.092
1999-04-01,40741.648
1999-07-01,40721.899
1999-10-01,43256.705
2000-01-01,44318.473
2000-04-01,44389.679
2000-07-01,45028.342
2000-10-01,44482.26
2001-01-01,44292.744
2001-04-01,45577.659
2001-07-01,44531.558
2001-10-01,46033.544
2002-01-01,46684.646
2002-04-01,46081.895
2002-07-01,44970.446
2002-10-01,45897.1
2003-01-01,46173.802
2003-04-01,48071.781
2003-07-01,48982.201
2003-10-01,50894.407
2004-01-01,53378.59
2004-04-01,54273.687
2004-07-01,55531.918
2004-10-01,57758.35
2005-01-01,58678.39
2005-04-01,60206.211
2005-07-01,61903.64
2005-10-01,63323.737
2006-01-01,65324.846
2006-04-01,65591.095
2006-07-01,66732.526
2006-10-01,68226.503
2007-01-01,69158.009
2007-04-01,69876.438
2007-07-01,70686.856
2007-10-01,69879.44
2008-01-01,67690.841
2008-04-01,66606.848
2008-07-01,64161.268
2008-10-01,61010.192
2009-01-01,59160.317
2009-04-01,59548.786
2009-07-01,61318.28
2009-10-01,61450.712
2010-01-01,62666.86
2010-04-01,62133.501
2010-07-01,64193.735
2010-10-01,65875.868
2011-01-01,66991.284
2011-04-01,67386.998
2011-07-01,65489.84
2011-10-01,66930.822
2012-01-01,68916.562
2012-04-01,69018.414
2012-07-01,70943.295
2012-10-01,71960.011
2013-01-01,74790.073
2013-04-01,76020.437
2013-07-01,78563.848
2013-10-01,80788.853
2014-01-01,82476.599
2014-04-01,84657.306
2014-07-01,85336.694
2014-10-01,86894.137
2015-01-01,88524.239
2015-04-01,89334.056
2015-07-01,88354.577
2015-10-01,89851.026
2016-01-01,91000.017
2016-04-01,92717.587
2016-07-01,94411.033
2016-10-01,95098.472
2017-01-01,97457.787
2017-04-01,99639.242
2017-07-01,101350.037
2017-10-01,103903.206
2018-01-01,104976.243
2018-04-01,106219.285
2018-07-01,108213.62
2018-10-01,104462.577
2019-01-01,110513.792
2019-04-01,112759.55
2019-07-01,113489.741
2019-10-01,116875.707
2020-01-01,110732.123
2020-04-01,118612.093
2020-07-01,123080.184
2020-10-01,131291.756
2021-01-01,136615.073
2021-04-01,143313.285
2021-07-01,146964.596
2021-10-01,151305.502
2022-01-01,152889.251
2022-04-01,147206.989
2022-07-01,143719.964
2022-10-01,144900.848
2023-01-01,148134.375
2023-04-01,153658.95
2023-07-01,152320.794
2023-10-01,156602.974
2024-01-01,163183.921
2024-04-01,166291.7
2024-07-01,170263.699
2024-10-01,170901.856
2025-01-01,169307.269
