symbol,report_date,period,revenue,gross_profit,operating_income,net_income,total_assets,total_liabilities,total_equity,cash_from_operations
GOOGL,2005-03-31,quarterly,1256516000.0,709735000.0,442770000.0,369193000.0,3865199000.0,438337000.0,3426862000.0,529622000.0
GOOGL,2005-06-30,quarterly,1384495000.0,787400000.0,475698000.0,342814000.0,4497718000.0,543861000.0,3953857000.0,624619000.0
GOOGL,2005-09-30,quarterly,1578456000.0,923302000.0,529171000.0,381182000.0,9451001000.0,657933000.0,8793068000.0,646747000.0
GOOGL,2005-12-31,quarterly,1919092000.0,1143711000.0,569639000.0,372208000.0,10271813000.0,852856000.0,9418957000.0,658434000.0
GOOGL,2006-03-31,quarterly,2253800000.0,1349681000.0,742699000.0,592291000.0,11294870000.0,1051602000.0,10243268000.0,824804000.0
GOOGL,2006-06-30,quarterly,2456000000.0,1466968000.0,815372000.0,721077000.0,14396006000.0,1038998000.0,13357008000.0,840586000.0
GOOGL,2006-09-30,quarterly,2689700000.0,1640972000.0,931331000.0,733361000.0,15693232000.0,1296145000.0,14397087000.0,1004324000.0
GOOGL,2006-12-31,quarterly,3205498000.0,1922350000.0,1060594000.0,1030717000.0,18473351000.0,1433511000.0,17039840000.0,910794000.0
GOOGL,2007-03-31,quarterly,3664000000.0,2193574000.0,1221209000.0,1002162000.0,20015438000.0,1638228000.0,18377210000.0,1219593000.0
GOOGL,2007-06-30,quarterly,3872000000.0,2311745000.0,1104615000.0,925120000.0,21423885000.0,1764277000.0,19659608000.0,1229926000.0
GOOGL,2007-09-30,quarterly,4231400000.0,2568821000.0,1317842000.0,1069989000.0,23340650000.0,2303879000.0,21036771000.0,1632643000.0
GOOGL,2007-12-31,quarterly,4826686000.0,2870862000.0,1440734000.0,1206449000.0,25335806000.0,2646127000.0,22689679000.0,1693248000.0
GOOGL,2008-03-31,quarterly,5186000000.0,3075464000.0,1546235000.0,1307086000.0,27604982000.0,3267447000.0,24337535000.0,1779446000.0
GOOGL,2008-06-30,quarterly,5367200000.0,3219625000.0,1577965000.0,1247391000.0,29179786000.0,3266771000.0,25913015000.0,1766154000.0
